"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"B3GNT2",262,208,216,154,181,246,367,172,192
"TMEM17",739,582,615,374,457,636,665,449,620
"EHBP1",1728,1827,1596,1214,1913,2444,3587,1583,2055
"AC009501.4",35,24,24,20,29,31,29,34,39
"DBIL5P2",42,41,29,28,18,77,54,11,24
"WDPCP",540,536,468,251,509,596,532,279,443
"MDH1",20616,19825,18414,12942,20764,23466,25311,14409,18292
"UGP2",3128,2987,2611,2087,3458,3944,4287,2433,2966
"VPS54",984,962,810,599,895,1383,1124,457,884
"PELI1",657,596,552,686,1092,1289,997,513,656
"AC074289.1",88,135,90,54,154,146,74,39,65
"LGALSL",1040,957,1015,560,971,1156,1092,636,930
"AFTPH",1094,933,870,607,1048,1367,1226,600,937
"SERTAD2",560,683,606,593,864,1195,1139,550,724
"AC007880.1",11,10,20,9,30,40,29,16,29
"SLC1A4",284,243,258,124,227,254,347,221,322
"LOC102724233",29,17,23,8,12,17,35,9,25
"CEP68",504,450,440,282,404,450,592,303,432
"LOC102724243",45,47,32,13,21,26,32,37,22
"RAB1A",2179,2266,1754,1515,2454,2963,2724,1693,2224
"ACTR2",6108,5836,4814,4804,7462,8999,12136,7449,9240
"SPRED2",347,354,285,244,470,544,517,379,430
"MEIS1",388,299,234,105,190,220,320,156,194
"ETAA1",1751,1557,1361,1123,1286,2155,1876,683,1348
"C1D",1250,1218,1168,877,1505,1483,1477,758,1106
"WDR92",1185,1073,1018,701,874,1073,1165,841,1043
"PNO1",184,142,165,124,184,302,396,185,239
"PPP3R1",274,205,188,180,246,309,307,225,321
"CNRIP1",82,91,92,50,157,135,133,107,108
"FBXO48",106,90,96,77,150,138,159,54,82
"APLF",33,18,9,4,25,53,31,11,32
"ANTXR1",3015,2842,2638,1879,2695,2987,3511,1786,2578
"GFPT1",3477,3942,3506,2435,4406,4995,4492,2477,3683
"NFU1",397,372,280,232,414,329,452,281,364
"AAK1",1659,1349,1357,1322,1680,2282,2623,1278,1660
"ANXA4",13284,12860,12991,7682,8597,9011,8163,4617,8021
"GMCL1",2401,2334,2515,1343,1644,1525,1474,783,1815
"SNRNP27",1317,1339,1016,709,1368,1453,1937,1042,1436
"MXD1",927,1130,1027,802,1791,2265,1488,845,1186
"PCBP1-AS1",187,167,169,54,132,145,152,103,121
"PCBP1",716,731,607,486,898,960,1174,617,903
"C2orf42",347,259,278,261,325,406,459,268,341
"TIA1",5807,5414,4641,3312,4308,6363,6563,2856,5013
"PCYOX1",4674,4632,3751,2323,3885,4329,4621,2638,3979
"SNRPG",2211,1964,1681,1646,2559,2627,3335,2038,2353
"FAM136A",2579,2301,2118,1438,1932,2472,3311,1949,2523
"ADD2",73,107,64,52,117,98,133,47,105
"TEX261",239,191,158,144,170,220,269,203,191
"NAGK",133,143,76,64,117,138,211,162,136
"MCEE",879,918,950,557,721,784,838,388,752
"MPHOSPH10",1859,1598,1301,910,1588,1862,2407,1176,1752
"PAIP2B",892,991,851,546,911,1038,667,319,544
"ZNF638",11644,9941,8665,7370,8725,13103,14797,5609,10469
"ZNF638-IT1",92,104,67,59,95,158,112,54,101
"EXOC6B",599,570,630,381,545,723,685,556,691
"SPR",30,26,29,9,5,17,18,15,3
"SFXN5",21,24,19,14,24,26,33,42,40
"RAB11FIP5",104,142,114,115,209,183,197,119,157
"SMYD5",171,189,97,69,80,137,207,144,202
"PRADC1",41,44,30,16,20,25,45,20,12
"CCT7",2289,2290,1869,1442,2370,2614,3655,2164,2815
"FBXO41",26,34,13,18,36,23,40,12,20
"ALMS1",697,494,504,424,653,690,917,363,740
"ALMS1-IT1",143,175,144,107,228,327,140,78,100
"TPRKB",1003,988,940,869,1186,1349,1795,1046,1232
"DUSP11",1540,1472,1077,903,1423,1662,2514,1344,1679
"STAMBP",1251,1340,1265,1067,1689,2072,3219,1768,1904
"ACTG2",56,230,45,457,537,945,4607,1981,1339
"DGUOK",1933,1822,1363,878,1519,1849,2493,1644,1831
"TET3",134,143,116,93,174,151,278,118,170
"BOLA3",631,543,476,435,497,645,1041,603,692
"BOLA3-AS1",407,385,297,203,333,430,464,251,363
"MOB1A",470,444,379,271,380,492,574,362,489
"MTHFD2",2908,2605,2396,1863,3016,3215,4512,2242,2815
"SLC4A5",10177,8003,8039,3686,3926,5193,4691,2527,4749
"DCTN1",447,478,349,277,441,498,694,444,439
"WDR54",1176,1268,745,442,786,878,1163,693,972
"RTKN",30,28,10,25,21,26,34,25,18
"MOGS",57,75,42,31,38,41,46,68,80
"MRPL53",108,87,81,68,88,122,106,77,100
"CCDC142",57,36,44,27,26,47,73,34,54
"TTC31",156,111,113,57,87,72,136,82,107
"PCGF1",279,359,277,175,351,398,341,202,327
"DQX1",40,32,31,11,27,21,33,9,38
"AUP1",566,451,284,147,285,394,673,476,492
"HTRA2",30,36,29,17,22,32,59,36,26
"LOXL3",106,120,97,60,86,98,106,58,93
"SEMA4F",62,62,65,35,85,71,113,90,80
"LOC102724497",27,38,13,12,40,38,36,10,40
"HK2",998,1859,1284,1207,2909,2736,1485,783,1526
"POLE4",67,57,49,51,55,80,124,52,81
"EVA1A",36,43,25,89,108,167,308,134,131
"MRPL19",1936,1500,1481,1154,1462,2231,2290,1158,1736
"GCFC2",800,796,662,591,673,961,964,419,697
"LRRTM4",695,436,525,199,259,439,299,237,203
"CTNNA2",257,245,222,128,260,297,290,230,257
"SUCLG1",3842,3857,3520,2250,3434,3724,3630,2368,2970
"DNAH6",2267,1969,1576,1268,1039,1907,1839,696,1637
"TMSB10",7088,10200,7107,7112,14636,14335,24910,14196,14079
"KCMF1",567,505,502,414,675,943,1049,644,675
"TCF7L1",159,173,126,65,153,158,167,103,130
"TGOLN2",1860,1794,1225,858,1440,1688,2506,1448,1958
"RETSAT",103,137,66,36,70,67,120,70,91
"ELMOD3",149,139,92,60,100,121,141,65,119
"MAT2A",2645,2443,2603,1711,2773,3012,3130,1780,2494
"GGCX",547,522,435,382,671,665,801,504,732
"VAMP8",54,42,33,12,27,39,64,31,32
"VAMP5",170,188,111,161,253,358,567,333,340
"RNF181",1365,1552,1362,1076,2111,2240,2564,1527,1709
"TMEM150A",65,54,44,20,34,51,56,40,45
"USP39",657,641,530,309,515,603,774,445,599
"C2orf68",2190,2140,2087,1270,1928,2133,2738,1479,2211
"ST3GAL5",506,464,449,285,389,374,381,192,257
"LOC90784",53,75,64,42,66,90,123,76,86
"POLR1A",52,70,54,24,73,70,63,43,69
"PTCD3",6652,5725,4671,3439,5349,6392,8709,4695,6158
"SNORD94",32,30,37,19,46,45,34,20,22
"IMMT",3773,3858,3446,2278,3844,4133,4906,3232,3838
"MRPL35",2428,1991,1970,1655,2057,2700,3023,1914,2146
"REEP1",391,308,367,180,286,255,265,171,243
"KDM3A",2314,2678,2112,1844,3509,4020,2859,1514,2328
"RNF103",508,461,418,302,506,719,743,365,457
"RMND5A",13167,11192,11397,8316,11022,13335,15575,8692,11217
"LOC102724689",22,17,16,11,28,17,41,23,32
"LINC00152",160,175,147,269,477,517,750,398,369
"LOC730268",10,8,4,18,35,28,52,15,30
"RGPD2",24,26,31,22,48,41,28,27,28
"KRCC1",580,440,386,376,413,535,888,388,551
"EIF2AK3",415,462,346,287,533,883,582,283,502
"LOC101928403",57,63,78,31,89,75,42,18,61
"LOC102724805",68,65,57,42,81,73,63,40,55
"RPIA",99,89,60,41,107,135,107,85,86
"ANKRD36BP2",40,45,35,28,34,35,38,21,55
"LOC102724285",34,24,15,10,14,17,31,24,21
"LOC101926969",91,73,64,58,82,128,170,66,97
"LOC654342",42,43,14,17,26,34,62,42,48
"MRPS5",1304,1237,1073,676,1229,1256,1467,872,1143
"ZNF514",481,422,415,265,368,468,525,257,403
"ZNF2",451,451,434,274,493,533,557,359,433
"FAHD2A",170,150,90,65,108,89,156,100,173
"LINC00342",240,159,104,103,95,212,238,54,105
"ANKRD36C",1054,747,687,546,726,1074,1435,568,906
"STARD7",2017,1739,1545,1006,1600,1676,2306,1375,1705
"STARD7-AS1",16,27,18,8,26,22,33,15,17
"TMEM127",154,137,126,67,160,146,239,149,150
"CIAO1",1118,1149,983,714,1114,1303,1202,873,1064
"SNRNP200",2958,3259,2524,1517,3124,3494,2733,1726,2600
"NCAPH",112,101,56,36,30,69,165,81,73
"KANSL3",624,555,547,300,612,606,753,389,589
"FER1L5",38,34,20,16,30,17,52,23,33
"LMAN2L",1757,1735,1418,989,1532,1809,2438,1509,1986
"CNNM4",95,101,61,30,68,82,78,53,66
"CNNM3",383,461,409,225,395,366,404,237,323
"ANKRD39",35,52,18,16,19,24,65,25,43
"ANKRD36",1064,859,690,576,672,1083,1316,562,869
"ANKRD36B",619,486,391,376,358,572,685,232,445
"COX5B",628,672,499,327,619,576,689,429,548
"ACTR1B",63,92,34,34,66,69,100,55,98
"LINC01125",40,52,41,17,39,50,69,11,37
"TMEM131",703,716,559,511,803,1028,1008,478,643
"VWA3B",50,35,29,27,15,29,33,14,34
"INPP4A",915,936,708,512,860,960,1107,625,797
"COA5",503,470,368,201,317,412,431,223,397
"UNC50",797,794,757,538,898,870,891,587,744
"MGAT4A",440,508,378,394,565,663,664,344,578
"TSGA10",1227,830,880,653,630,1058,1218,540,947
"C2orf15",293,195,181,103,134,115,217,119,179
"LIPT1",526,475,494,350,443,521,606,323,510
"MITD1",808,718,626,624,971,1149,1198,682,941
"MRPL30",1511,1336,1361,1118,1793,2071,2285,1296,1715
"LYG2",20,25,22,16,19,18,36,20,21
"LYG1",30,22,12,24,40,23,35,28,18
"LOC101927110",18,24,19,9,12,33,13,17,29
"TXNDC9",2326,1711,1707,1850,2239,2898,4319,2236,2587
"EIF5B",4317,3258,2850,2854,3394,5424,6988,2849,4334
"REV1",980,968,869,731,1104,1491,1366,612,940
"AFF3",432,372,345,181,401,419,475,293,358
"LONRF2",426,409,316,196,330,497,631,325,403
"CHST10",31,38,17,19,15,26,34,31,31
"PDCL3",580,423,429,427,579,734,1004,601,585
"NPAS2",122,132,77,67,99,105,108,53,100
"RPL31",21302,24042,19971,12601,24688,22320,21629,12792,17989
"TBC1D8",220,177,135,105,122,186,198,87,176
"CNOT11",324,297,266,212,268,337,392,206,285
"RNF149",435,522,298,320,524,602,515,236,411
"CREG2",26,44,19,23,39,41,37,27,25
"MAP4K4",902,963,646,644,1253,1517,2125,1169,1255
"IL1R1",121,78,94,94,100,202,206,104,72
"MFSD9",97,90,63,48,69,106,161,49,35
"TMEM182",479,336,409,238,431,519,446,287,380
"LOC101927383",53,44,54,22,69,77,65,61,123
"LINC01158",298,283,233,102,281,338,290,168,179
"MRPS9",1844,1758,1700,1317,1848,2272,2534,1467,1963
"TGFBRAP1",312,272,193,174,246,249,426,260,262
"LOC100506473",249,247,205,152,246,321,285,157,207
"C2orf49",934,1064,863,777,1348,1464,1180,728,1006
"FHL2",31,44,29,115,141,173,304,154,133
"NCK2",89,68,60,41,39,87,75,43,81
"UXS1",557,496,517,497,678,870,975,564,815
"ST6GAL2",571,429,428,389,622,843,1132,503,454
"RGPD4",93,72,55,51,48,102,83,19,63
"SULT1C2",146,141,113,104,185,227,325,105,138
"SULT1C4",1638,1718,1485,1793,1843,2964,3439,1997,2804
