"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"KCTD12",1681,1500,1601,1337,1675,2220,2293,1236,1360
"CLN5",662,560,493,464,522,749,718,408,517
"FBXL3",642,573,540,352,641,755,775,284,572
"MYCBP2",3161,3192,2699,2101,2799,3845,4020,1686,3171
"SLAIN1",135,133,102,97,106,171,179,95,110
"EDNRB-AS1",116,95,84,73,59,89,49,35,61
"EDNRB",2280,1631,1583,1033,1680,1947,2588,1050,2058
"RNF219",961,759,793,674,1022,1258,1564,758,1057
"RBM26",3734,3084,2428,2117,2400,3484,3855,1289,2772
"RBM26-AS1",259,193,175,83,150,218,231,103,181
"NDFIP2",945,924,769,658,1015,1315,1734,869,1010
"SPRY2",108,138,81,72,258,237,327,140,210
"SLITRK1",52,31,33,13,53,91,68,48,44
"SLITRK6",770,450,483,167,386,412,604,244,439
"SLITRK5",132,160,163,84,161,142,160,48,89
"MIR17HG",332,287,213,303,499,496,563,273,362
"GPC6",1229,1312,1144,580,899,807,593,316,556
"GPC6-AS2",25,25,23,4,12,16,8,2,16
"TGDS",2121,2208,1950,1343,2422,2558,2401,1239,1877
"GPR180",788,772,659,471,558,785,1010,334,751
"SOX21",28,31,13,11,31,31,27,20,21
"SOX21-AS1",31,30,23,13,17,26,24,7,12
"ABCC4",2504,2262,2063,1543,1976,2467,3324,1854,2230
"CLDN10",238,275,280,129,233,216,195,151,198
"DZIP1",994,794,809,597,746,1054,1335,578,870
"LOC101927308",39,41,54,21,32,56,84,36,67
"DNAJC3-AS1",316,313,268,194,265,284,305,138,154
"DNAJC3",4084,3786,3430,2301,3303,4425,4947,2732,3410
"UGGT2",1736,1448,995,1019,1054,1645,2759,1106,1770
"HS6ST3",2483,2290,2137,1078,1156,1091,1386,927,1694
"MBNL2",4569,4881,3314,4874,5726,8921,9486,3705,6277
"LOC101927385",112,170,101,140,243,369,201,92,140
"RAP2A",1720,1451,1500,1178,1926,2425,2625,1300,1579
"IPO5",4348,4200,4257,3685,6632,6758,8940,4610,5787
"FARP1",94,77,50,58,172,158,225,134,158
"STK24",316,404,260,208,309,414,428,231,309
"SLC15A1",11,19,11,21,30,26,91,52,17
"DOCK9",732,783,650,533,606,855,702,267,474
"UBAC2",397,367,298,217,365,376,461,234,361
"GPR18",133,130,126,88,94,144,142,38,120
"GPR183",260,201,196,128,190,230,259,120,188
"TM9SF2",4479,4195,3311,2120,3013,3726,4524,2800,3678
"CLYBL",427,417,369,190,387,336,393,242,340
"LOC101927437",161,142,118,99,119,163,125,76,110
"ZIC5",5917,4929,4899,3530,4897,5355,7278,4108,5547
"ZIC2",1620,1537,1273,947,1530,1580,2009,1188,1669
"PCCA",441,498,424,247,431,464,554,353,437
"PCCA-AS1",40,31,31,16,42,28,61,17,32
"TMTC4",274,319,253,168,249,290,566,287,306
"NALCN",74,75,66,35,57,91,122,81,60
"ITGBL1",142,130,224,138,206,243,201,115,154
"FGF14",222,235,294,253,327,405,364,221,201
"TPP2",773,761,720,513,788,1117,1103,567,834
"CCDC168",62,2,13,18,17,24,61,19,25
"TEX30",643,595,609,428,744,829,1010,541,727
"KDELC1",50,80,63,48,54,63,96,48,54
"BIVM",385,296,288,181,270,359,390,182,285
"EFNB2",318,268,241,267,431,696,1810,690,431
"ARGLU1",4038,3311,3401,2366,3230,4102,4203,2235,2949
"FAM155A",68,68,66,42,114,120,147,93,89
"FAM155A-IT1",15,21,10,10,29,27,38,7,29
"LIG4",1658,1356,1178,1302,1452,2204,2738,1120,1902
"ABHD13",381,349,360,283,277,404,452,196,308
"TNFSF13B",160,133,130,201,131,201,159,45,153
"IRS2",1301,1570,1411,1022,2317,2114,1900,966,1673
"COL4A1",125,161,92,172,329,370,779,371,338
"COL4A2",25,32,24,16,43,49,94,55,39
"CARKD",76,73,61,53,80,72,70,48,57
"CARS2",43,22,23,12,22,21,28,19,31
"ING1",108,126,99,85,182,172,158,76,132
"ANKRD10",6957,7168,6062,4664,6063,7706,8617,3651,6237
"ARHGEF7",260,266,225,171,293,393,401,257,247
"SOX1",50,43,27,15,41,59,30,32,31
"TUBGCP3",230,208,197,94,141,128,203,121,140
"ATP11A",219,202,189,148,304,277,326,198,273
"MCF2L",66,82,45,31,27,45,61,45,64
"PCID2",2096,1873,1838,1432,2056,2229,2774,1452,2003
"CUL4A",1768,1909,1727,1244,2089,2184,2432,1236,1709
"LAMP1",77,109,82,78,103,115,117,93,136
"GRTP1",23,27,24,17,15,50,30,5,20
"DCUN1D2",1499,1567,1014,441,755,694,820,396,651
"TMCO3",3160,2868,2373,1437,1506,1631,2011,988,1631
"TFDP1",749,725,694,411,751,921,885,488,762
"ATP4B",26,23,26,14,12,23,37,1,13
"GAS6",42,34,12,12,19,16,32,14,25
"GAS6-AS2",107,68,40,18,38,34,42,24,35
"RASA3",8,34,17,13,28,38,48,20,22
"CDC16",799,861,683,562,924,925,1013,496,717
"UPF3A",253,300,203,187,243,298,351,205,311
"CHAMP1",302,294,246,195,315,329,448,225,277
"TTC5",821,773,532,342,496,597,715,453,597
"CCNB1IP1",975,915,891,630,1234,1113,1079,696,842
"PARP2",1037,1407,1192,736,1533,1684,1481,855,1182
"TEP1",56,72,67,62,93,71,100,49,57
"OSGEP",448,494,356,204,387,405,583,384,422
"APEX1",3265,2942,2533,1677,2811,3425,4628,2854,3602
"TMEM55B",101,117,118,69,106,148,167,68,103
"PNP",583,650,607,486,856,1010,1263,855,890
"ANG",100,157,114,123,281,240,134,52,109
"RNASE4",310,344,348,307,530,634,399,136,284
"RNASE1",32,22,21,35,70,78,113,45,43
"METTL17",838,742,630,372,795,861,859,462,780
"RP11-84C10.4",81,71,77,49,134,147,63,46,43
"NDRG2",261,203,116,29,80,87,101,96,79
"ARHGEF40",115,63,63,70,94,168,254,109,114
"ZNF219",20,24,25,17,40,17,29,14,35
"LINC00641",1190,1035,1033,960,1656,1763,1815,991,1272
"HNRNPC",14431,17353,15340,10497,21509,22092,19740,12140,15918
"SUPT16H",5247,5442,4756,3502,6548,6717,8710,4987,6284
"CHD8",1381,1377,1165,829,1583,1729,1999,1152,1641
"RAB2B",1694,1865,1606,1187,2235,2564,2598,1353,1856
"METTL3",1322,1301,1040,712,1229,1421,1747,1017,1212
"SALL2",292,272,184,131,200,253,290,210,276
"DAD1",10092,10645,9107,7430,12439,12867,15444,9556,10582
"ABHD4",1119,1401,1011,586,1339,1296,980,721,1035
"OXA1L",3121,3244,2672,1686,2755,2858,3990,2357,2982
"SLC7A7",176,130,159,98,181,162,252,165,176
"MRPL52",114,116,96,74,109,119,179,117,142
"LRP10",305,260,203,126,215,222,393,217,258
"RBM23",4488,4502,3948,2565,4532,5070,4811,3141,4630
"PRMT5",864,791,535,340,708,703,1127,700,967
"HAUS4",85,82,98,54,73,108,96,37,63
"AJUBA",355,313,280,462,617,762,733,476,509
"C14orf93",72,58,31,19,41,67,48,27,38
"PSMB5",6293,6360,5726,4227,6874,7495,9370,5934,6768
"ACIN1",307,313,223,154,294,269,354,208,253
"C14orf119",2932,2629,2465,2207,3241,3743,4680,2827,3222
"SLC7A8",2015,2071,1567,873,1380,1499,1509,1121,1477
"HOMEZ",78,64,78,53,84,91,78,47,61
"PPP1R3E",486,665,580,338,644,742,464,284,429
"BCL2L2",131,119,159,85,210,183,143,119,126
"SLC22A17",191,196,127,61,114,109,164,67,138
"EFS",117,112,77,59,68,84,81,62,87
"MYH7",26,17,11,21,33,24,27,16,28
"NGDN",2432,2297,2038,1554,2884,3238,3108,1831,2245
"THTPA",147,123,70,46,71,99,130,91,98
"ZFHX2",99,71,45,30,43,45,84,64,62
"AP1G2",156,150,112,59,139,132,120,75,86
"DHRS4-AS1",320,358,366,206,350,375,371,200,271
"PCK2",26,33,7,7,28,20,45,16,13
"DCAF11",543,638,461,292,554,545,646,415,474
"PSME1",1778,1751,1388,885,1489,1592,2326,1521,1767
"EMC9",73,109,49,31,102,94,87,58,95
"PSME2",1658,1581,1400,1384,1900,2105,3363,2207,2378
"RNF31",63,48,39,28,64,60,80,37,52
"IRF9",91,81,95,50,135,149,245,107,152
"REC8",18,13,24,14,12,32,22,27,13
"IPO4",63,53,64,33,67,71,126,73,84
"TM9SF1",828,854,648,442,810,816,1031,638,749
"CHMP4A",1045,1092,909,693,1223,1252,1725,987,1112
"MDP1",52,43,39,12,27,24,67,41,46
"NEDD8",1961,2291,1731,1312,2186,2240,3053,1957,2089
"GMPR2",1164,1259,1164,706,1460,1459,1554,971,1064
"TINF2",350,377,263,234,448,487,587,341,412
"RABGGTA",166,160,117,61,127,164,263,132,159
"DHRS1",451,440,396,295,532,547,620,398,551
"NOP9",20,34,24,21,21,28,45,20,30
"NFATC4",88,112,69,38,69,77,48,61,55
"NYNRIN",206,220,179,108,143,121,256,119,177
"KHNYN",78,91,84,53,104,98,96,65,126
"LOC101927045",107,85,71,45,86,99,113,64,64
"STXBP6",21,50,50,8,74,57,27,28,26
"NOVA1",289,235,217,170,256,427,465,203,229
"LINC00645",126,84,90,71,132,128,187,82,101
"PRKD1",97,71,40,58,59,128,166,29,71
"G2E3",3928,3422,3437,2815,3645,4579,4476,1681,3392
"SCFD1",6660,5790,5072,4752,6165,7837,9135,4427,6424
"COCH",63,39,58,28,28,42,71,44,29
"STRN3",2146,1895,1729,1723,2077,2711,2957,1397,1885
"AP4S1",194,119,148,140,137,241,290,161,202
"HECTD1",4835,4526,4405,3351,4264,5657,6783,3501,4933
"HEATR5A",3986,4451,3441,2945,4402,5004,6690,3815,5346
"LOC101927124",56,38,20,32,31,48,35,29,41
"DTD2",101,129,91,83,101,119,200,105,181
"NUBPL",773,712,610,526,643,750,845,500,801
"ARHGAP5-AS1",79,75,44,39,59,78,112,56,82
"ARHGAP5",11722,10987,9121,8365,9910,13493,13036,5014,9964
"AKAP6",1859,1666,1384,1508,2083,2933,2913,1692,2234
"NPAS3",370,282,262,230,361,415,549,360,301
"EGLN3",81,118,89,71,143,95,163,90,114
"SPTSSA",3895,3725,3164,2364,3674,3825,3833,2602,3692
"EAPP",3274,3066,2824,2233,3710,3882,3925,2169,2994
"SNX6",4942,4469,4105,3544,5193,6213,8391,4309,5534
"CFL2",8285,8597,7578,6437,9934,10603,12516,6366,9050
"BAZ1A",1121,996,885,727,1055,1717,1993,984,1321
"LOC100506157",73,94,61,38,82,88,77,29,50
"SRP54",8687,8761,8122,5991,11538,11978,11805,6820,8954
"FAM177A1",427,367,339,291,526,645,658,379,433
"PPP2R3C",2279,2187,2132,1607,2504,2744,3308,1634,2278
"LOC101927178",158,127,150,101,153,190,149,87,193
"KIAA0391",1636,1620,1501,1065,1540,1976,2646,1589,2084
"PSMA6",4640,4768,4160,3621,6193,7237,7929,4782,5528
"NFKBIA",184,224,170,184,305,269,387,180,185
"RALGAPA1",968,827,859,596,782,1030,1126,548,809
"BRMS1L",1264,1122,840,669,983,1130,1450,778,1377
"MBIP",2027,1918,1628,1461,2269,2624,2891,1463,2034
"SLC25A21",105,58,64,33,64,57,97,48,110
"SLC25A21-AS1",72,50,43,22,69,34,61,41,39
"MIPOL1",645,632,425,349,440,552,766,295,707
"SEC23A",5102,4487,3991,2918,4689,5578,6853,3607,4904
"GEMIN2",1285,1199,1283,996,1574,1764,2061,1264,1577
"TRAPPC6B",781,869,695,535,825,917,1072,520,861
"PNN",7683,7635,6672,4281,6471,7026,8061,4114,6250
"CTAGE5",8012,8041,7484,4296,6358,6083,5967,2898,5669
"FBXO33",974,896,724,672,920,1035,1244,481,917
"LOC644919",217,209,173,185,186,269,349,139,212
"LRFN5",172,127,129,93,167,175,248,140,171
"LOC101927351",63,54,49,18,25,48,41,14,42
"C14orf28",310,284,274,188,366,517,389,188,348
"KLHL28",11903,11347,10981,9375,11662,15609,11395,4828,8995
"FAM179B",2080,1934,1557,1236,1740,2089,2053,1196,1753
"PRPF39",3597,3371,3216,2393,3370,4608,4588,2101,3235
"FKBP3",2703,2411,2117,1985,2814,3212,5257,2997,3272
"FANCM",888,641,405,386,445,648,1317,399,636
"MIS18BP1",117,143,121,116,118,154,229,78,171
"MDGA2",187,197,115,116,182,338,337,150,155
"RPS29",4526,5748,4121,2885,5696,5160,5591,3617,4485
"RN7SL1",79,80,45,37,68,66,146,69,64
"LRR1",166,121,87,62,128,98,210,116,162
"RPL36AL",3875,3977,3429,3105,4789,5176,6143,3394,4038
"MGAT2",185,210,190,148,204,250,393,231,213
"DNAAF2",145,92,110,92,111,160,140,81,142
"POLE2",158,145,128,144,126,238,205,96,180
"KLHDC1",426,361,389,201,333,313,344,93,271
"KLHDC2",720,670,601,342,577,603,689,347,527
"NEMF",4426,3918,3431,3118,3791,5449,6363,2425,4493
"ARF6",2985,2426,2550,2554,3537,4444,4741,2971,3280
"VCPKMT",297,283,302,276,470,455,433,174,350
"SOS2",827,818,681,549,623,895,987,547,644
"L2HGDH",159,110,117,82,143,132,153,81,158
"ATP5S",1075,812,855,568,724,990,1185,742,824
"CDKL1",261,208,231,175,202,296,297,157,263
"MAP4K5",2344,2550,2146,2394,3245,4646,4601,1725,2768
"ATL1",379,346,321,185,507,502,560,327,444
"SAV1",575,600,597,479,682,793,710,325,555
"NIN",1170,936,842,956,1050,1650,2178,865,1437
"ABHD12B",17,32,36,33,78,96,53,21,53
"PYGL",192,286,164,222,428,491,563,312,382
"TRIM9",206,177,149,107,246,243,382,163,187
"TMX1",7931,6314,6341,5753,8845,9933,14270,7003,8897
"FRMD6",505,604,420,684,1029,1574,3877,1567,1126
"FRMD6-AS1",26,17,18,9,15,43,30,18,12
"GNG2",4906,4717,4428,2795,6017,6324,7858,4463,5432
"C14orf166",2999,2643,2422,1845,2820,2977,4116,2457,2945
"NID2",1239,1174,1060,716,1033,865,777,517,772
"PTGER2",69,76,45,42,73,47,58,54,71
"TXNDC16",644,696,606,365,656,752,669,253,561
"GPR137C",583,496,312,310,380,478,464,221,421
"ERO1L",811,1391,1141,1263,2281,2535,1168,559,1216
"PSMC6",3474,3332,3190,3061,4585,5148,5532,2871,4221
"STYX",767,919,797,761,921,1186,1207,561,995
"GNPNAT1",370,340,302,324,438,509,773,318,468
"FERMT2",1178,1116,1133,1875,2250,3261,3446,1765,2329
"DDHD1",1032,966,845,834,989,1500,1394,551,1057
"BMP4",442,461,252,221,362,367,436,262,492
"CDKN3",286,248,221,568,697,729,991,450,773
"CNIH1",7396,6964,6642,6530,9124,9776,9873,5490,8653
"GMFB",11052,9264,8644,8858,11787,15099,18506,8462,13719
"CGRRF1",1932,1743,1530,1467,2139,2416,2792,1379,1942
"SAMD4A",267,313,300,364,504,707,668,269,441
"GCH1",12,16,17,30,74,58,76,38,44
"WDHD1",684,793,692,696,856,1295,1485,842,1055
"SOCS4",1758,1232,1291,1343,1501,2063,3073,1182,1984
"MAPK1IP1L",7697,7561,6201,6194,9830,11622,14733,8273,9978
"LGALS3",91,120,85,100,223,218,282,122,185
"DLGAP5",767,630,493,368,473,677,951,517,742
"FBXO34",278,286,227,180,353,297,321,195,211
"ATG14",263,281,224,212,343,373,350,167,260
"KTN1-AS1",55,27,41,22,39,27,66,31,51
"KTN1",11339,8360,6416,7308,6482,10374,12334,4508,9447
"LOC102723670",41,38,14,22,43,69,66,53,48
"PELI2",1197,1167,873,1002,1525,2067,2076,923,1437
"TMEM260",503,361,371,370,455,540,636,324,441
"OTX2",5910,6048,4712,2598,4016,4005,4537,2921,4666
"OTX2-AS1",3813,3327,3308,1564,1764,1955,1815,1148,2236
"EXOC5",2248,1933,1829,1636,1979,2818,3055,1495,2304
"AP5M1",5906,4576,4578,3742,4247,5500,6295,3583,4450
"NAA30",479,519,426,328,473,613,612,329,387
"C14orf37",391,409,258,269,439,433,602,270,376
"ACTR10",1764,1641,1227,962,1379,1762,2409,1487,1622
"PSMA3",4690,4071,4060,3357,4505,5751,6422,3742,4716
"FLJ31306",3800,2635,2729,1963,1981,2964,3787,1902,2778
"ARID4A",1718,1648,1338,1119,1310,1937,1928,807,1469
"TIMM9",582,648,492,360,661,662,694,428,635
"KIAA0586",1592,1543,1507,1080,1537,2143,2009,880,1787
"DACT1",62,50,50,60,118,134,154,79,86
"DAAM1",6673,7276,5594,5039,6646,8081,6868,2792,5579
"L3HYPDH",621,605,594,616,808,1027,1035,591,798
"JKAMP",9865,9718,9299,8406,11730,13240,14622,8119,10324
"CCDC175",100,76,70,62,61,95,130,32,61
"RTN1",767,721,567,605,979,1187,1342,907,957
"LRRC9",3232,2345,2045,1820,1712,2748,2491,938,2361
"PCNXL4",3650,3387,3310,2190,2928,3756,3856,2034,3111
"DHRS7",1423,1516,1020,663,1114,1291,1951,1120,1294
"PPM1A",2975,2634,2623,2091,2839,3890,3456,1499,2310
"C14orf39",295,176,216,202,131,276,209,72,225
"SIX1",8,16,7,25,18,43,70,14,45
"SIX4",444,586,614,523,723,1030,1026,444,606
"MNAT1",1580,1419,1260,1277,1753,2078,2394,1354,1913
"TRMT5",970,852,719,582,897,1245,1284,731,1104
"SLC38A6",2551,2390,2037,1760,2043,2578,3609,1826,2450
"PRKCH",22,18,8,13,19,65,35,22,21
"HIF1A",1229,1106,954,1045,1393,1746,2347,988,1630
"SNAPC1",1063,1183,830,862,1270,1546,1377,762,1418
"LINC00643",71,44,70,58,82,75,136,93,67
"KCNH5",540,444,403,452,403,377,339,207,384
"RHOJ",146,151,123,69,116,133,308,118,156
"PPP2R5E",627,640,536,477,566,688,645,415,592
"WDR89",1088,1072,1047,908,1511,1429,1401,835,1070
"SGPP1",268,206,225,172,239,273,365,171,277
"SYNE2",12102,8202,5501,6727,6907,10549,13472,4396,10065
"MTHFD1",1841,1910,1790,1291,2240,2172,3313,2149,2435
"ZBTB25",370,380,324,280,329,482,330,145,312
"AKAP5",263,303,244,177,314,294,196,115,195
"ZBTB1",1330,1385,1169,1100,1406,1752,1624,700,1161
"LOC102723809",7,16,22,18,26,24,12,7,20
"PLEKHG3",25,36,15,17,21,28,31,18,21
"CHURC1",2545,2050,2205,2029,2228,2880,3332,1678,2675
"RAB15",73,65,59,48,85,94,174,70,92
"MAX",307,311,239,138,249,325,425,251,302
"FUT8",660,676,599,395,587,645,726,411,549
"GPHN",984,918,828,488,692,1000,821,519,602
"LOC101927899",87,44,69,55,47,75,83,22,67
"MPP5",5168,4237,4130,3261,3841,4883,4765,2510,4036
"ATP6V1D",6737,6542,6098,5118,8080,9472,10224,5708,7329
"EIF2S1",12420,11267,11272,8957,14501,16286,18628,11199,14240
"PLEKHH1",80,72,43,35,86,138,70,55,71
"PIGH",318,346,218,142,249,295,393,230,231
"ARG2",276,272,203,147,328,362,385,213,244
"VTI1B",130,146,92,56,107,105,191,117,99
"RDH11",7363,7820,6904,5339,9758,9721,10268,6442,8049
"ZFYVE26",102,121,107,69,100,142,157,82,132
"RAD51B",452,482,486,302,392,565,441,244,404
"ZFP36L1",3728,3698,3430,3164,5075,5456,5704,2772,3964
"ACTN1",246,243,144,348,463,617,1273,658,548
"DCAF5",1497,1503,1287,963,1709,2012,1896,1203,1526
"EXD2",589,523,437,322,540,713,807,407,466
"GALNT16",14,20,7,18,26,31,55,15,15
"ERH",1734,1961,1689,1290,1990,2546,2093,1797,2236
"SLC39A9",7601,6825,6145,4345,7038,8097,8679,4903,6485
"KIAA0247",522,449,378,295,503,472,712,417,545
"SRSF5",20421,20861,20735,13232,20188,22343,17904,10818,15916
"COX16",794,764,633,508,767,953,1159,633,742
"SYNJ2BP",2016,1747,1623,1264,1607,2132,2728,1295,1818
"ADAM21",48,42,23,20,36,41,39,23,21
"ADAM20P1",67,102,74,91,166,195,91,36,61
"MED6",1336,1264,1105,775,1457,1465,1568,935,1246
"LOC101928075",32,13,7,22,5,64,26,15,22
"TTC9",220,209,194,181,272,337,426,257,253
"MAP3K9",490,520,388,365,529,602,616,445,569
"LOC100506411",130,108,76,97,121,164,190,105,91
"PCNX",2804,2343,2252,1973,2656,3262,4040,1920,2817
"LOC145474",368,232,259,239,361,295,368,217,300
"SIPA1L1",1637,1512,1088,796,1253,1305,1661,945,1435
"RGS6",22,35,40,25,51,45,47,29,64
"DPF3",58,46,65,36,42,34,51,13,63
"DCAF4",41,36,30,28,60,52,81,27,36
"ZFYVE1",153,105,83,47,102,64,143,90,80
"RBM25",6500,6755,5783,4610,7302,9305,8466,4524,6505
"PSEN1",2661,2617,2171,1565,2372,2638,3486,1946,2599
"PAPLN",58,33,30,13,24,43,60,31,43
"NUMB",2538,2610,2330,1548,2517,2768,2903,1808,2512
"HEATR4",48,63,56,32,64,64,30,19,37
"C14orf169",27,37,25,24,37,51,55,29,25
"DNAL1",1538,1538,1533,1361,1682,1952,2059,1259,1874
"PNMA1",312,290,239,222,300,317,425,301,303
"ELMSAN1",830,905,771,681,1392,1606,1651,769,928
"PTGR2",1959,1904,1809,1410,2130,2246,2260,1244,1923
"ZNF410",2664,2544,2412,1695,3081,3514,3837,2321,2753
"FAM161B",179,122,87,74,109,154,122,81,89
"COQ6",179,168,155,104,179,168,203,145,167
"ENTPD5",204,326,203,164,328,350,418,220,301
"CCDC176",2476,1823,1911,1376,1378,2311,2514,1319,2344
"ALDH6A1",2260,2169,1907,920,1928,1967,1550,846,1338
"LIN52",1396,1388,1121,776,1211,1503,1551,1002,1318
"ABCD4",201,231,126,82,154,188,204,117,150
"NPC2",8408,9071,7560,5304,9071,8934,8966,4945,6818
"ISCA2",159,108,107,72,145,134,155,98,99
"LTBP2",326,225,205,433,509,629,1859,720,683
"AREL1",1112,1081,904,701,1166,1255,1882,1019,1203
"FCF1",297,329,292,303,429,458,499,275,370
"YLPM1",1166,957,812,742,893,1241,1311,718,926
"DLST",132,175,119,94,199,196,152,111,164
"EIF2B2",183,196,159,99,214,260,259,151,192
"MLH3",1144,1187,1184,829,1394,1388,1405,758,1125
"ACYP1",1044,911,861,554,788,846,907,511,770
"ZC2HC1C",277,207,219,110,189,262,214,128,233
"NEK9",103,128,94,89,122,117,104,54,69
"TMED10",27135,28391,25214,20944,31633,34782,38766,22867,29741
"FOS",177,188,117,104,192,226,370,192,361
"JDP2",33,57,16,9,32,36,17,26,20
"FLVCR2",163,122,148,68,66,80,138,82,70
"C14orf1",2864,3228,2547,2111,3764,3954,4514,2762,3595
"TTLL5",1466,1354,1008,798,1152,1615,1669,978,1444
"TGFB3",285,390,293,366,457,591,1092,579,618
"IFT43",915,805,526,475,551,630,1096,664,741
"GPATCH2L",3656,3380,2925,2625,3484,4379,4095,2190,3378
"VASH1",40,42,35,17,30,38,51,22,57
"LOC100506603",29,23,23,16,19,16,37,20,19
"ANGEL1",160,193,153,92,166,173,202,121,152
"IRF2BPL",227,251,186,186,283,347,447,275,278
"CIPC",2801,2570,2638,1938,2695,3447,3311,2183,2786
"POMT2",103,89,88,41,92,83,134,74,88
"GSTZ1",102,110,64,22,59,56,102,75,78
"TMED8",185,150,156,77,114,108,131,68,150
"SAMD15",341,310,258,241,250,352,402,299,337
"NOXRED1",132,84,94,61,68,109,96,62,104
"VIPAS39",1083,1046,915,539,1005,932,1274,734,1042
"AHSA1",571,580,501,310,469,503,683,339,527
"ISM2",316,404,353,186,278,314,328,200,302
"SPTLC2",2412,2592,2307,1587,2146,2794,2507,1548,2220
"ALKBH1",220,198,190,116,233,264,312,172,189
"SLIRP",3559,3722,3087,2657,4391,4694,6139,3953,4377
"SNW1",6029,5863,5593,3905,6770,7457,8060,4904,6566
"ADCK1",128,115,91,47,51,52,113,99,107
"NRXN3",2886,2821,2552,2037,2449,3065,3618,1904,2384
"DIO2",443,469,305,1522,864,1999,4889,2031,1583
"CEP128",604,478,479,262,334,446,672,246,549
"GTF2A1",1074,1133,980,1072,1125,1769,1331,962,1382
"LOC101928504",22,24,23,18,31,35,42,17,19
"STON2",11323,9183,9070,7141,8287,11395,12834,7237,9877
"SEL1L",2844,2607,2203,1776,2770,3233,3861,1908,2501
"LOC100506731",129,105,115,88,161,153,219,74,96
"FLRT2",1853,1609,1568,1531,1988,2495,2842,1417,2137
"LOC102724348",486,482,448,390,502,603,637,214,544
"GALC",638,637,562,389,639,797,733,373,573
"SPATA7",334,404,295,206,322,384,381,174,251
"PTPN21",422,406,354,346,386,488,537,289,454
"ZC3H14",2860,2297,2338,1584,2054,2968,3817,2027,2819
"EML5",655,488,440,321,362,565,681,237,466
"TTC8",1773,1666,1406,1193,1369,1785,1885,973,1610
"FOXN3",527,545,448,273,610,619,631,381,541
"LOC101928817",322,248,175,83,87,172,170,114,134
"EFCAB11",590,483,588,362,465,542,495,372,578
"TDP1",1116,1068,902,690,883,1205,1376,887,1152
"KCNK13",45,38,56,30,21,36,39,36,30
"PSMC1",1361,1440,1324,923,1697,1935,2134,1353,1580
"NRDE2",187,126,124,91,90,113,175,90,124
"CALM1",11449,9949,10005,5794,9012,10083,10291,6654,8537
"TTC7B",69,71,52,28,52,43,91,52,79
"RP11-1078H9.5",43,37,29,19,23,32,46,21,54
"RPS6KA5",341,335,278,182,340,315,423,171,287
"C14orf159",1066,991,718,367,521,634,1027,664,802
"CCDC88C",30,31,21,21,19,16,26,24,22
"SMEK1",1840,1654,1393,1212,1749,2191,2083,1174,1645
"TC2N",431,404,344,171,301,254,408,158,243
"FBLN5",128,184,97,140,254,262,338,190,329
"TRIP11",7124,4260,3476,4644,3703,6878,7841,2692,6198
"ATXN3",1041,1179,937,890,1435,1769,1529,949,1276
"NDUFB1",2212,1977,1646,1271,1593,1890,2377,1539,1916
"CPSF2",1829,1720,1595,1424,1826,2156,3105,1751,2232
"SLC24A4",511,518,400,219,314,288,217,129,205
"LGMN",589,583,332,211,376,442,602,334,518
"GOLGA5",1080,1158,1028,665,1300,1474,1503,761,1159
"ITPK1",28,24,26,16,32,31,39,18,15
"MOAP1",289,235,180,149,274,275,288,152,179
"TMEM251",336,353,316,181,358,396,353,248,315
"C14orf142",2703,2013,1876,809,823,1202,1613,985,1492
"UBR7",1059,813,671,440,644,694,886,498,712
"BTBD7",3368,2521,2528,2198,2738,3622,4446,2416,2979
"UNC79",214,238,178,116,272,298,245,130,127
"OTUB2",181,126,145,72,99,101,158,94,131
"DDX24",10966,11021,10055,6894,12447,13480,14169,8557,10564
"IFI27L1",538,539,372,170,331,382,449,239,382
"IFI27",89,68,59,29,65,40,201,51,77
"IFI27L2",178,207,109,59,103,115,154,112,136
"PPP4R4",287,206,165,115,143,180,171,88,108
"SERPINA1",9,3,2,19,23,25,72,34,30
"SERPINA3",474,680,538,1475,2499,2722,4412,2068,2096
"DICER1",6476,5862,5903,5142,6200,8018,7883,4072,6750
"DICER1-AS1",119,171,149,60,96,129,77,58,74
"CLMN",1977,1972,1824,1655,2199,2653,2373,1776,2577
"SNHG10",146,115,107,63,110,141,105,72,90
"GLRX5",172,145,106,82,159,157,216,122,134
"LINC00617",36,33,27,11,28,43,31,10,19
"C14orf132",536,584,378,314,544,627,1131,626,652
"ATG2B",1414,1351,1250,931,1000,1581,1529,630,1199
"GSKIP",3430,2713,2940,2412,3022,3840,5223,2952,3460
"AK7",605,596,422,309,345,398,505,290,485
"PAPOLA",9513,8858,8053,5903,7129,10713,10263,4443,8007
"VRK1",1458,1155,1103,955,1327,1479,2045,1029,1335
"BCL11B",415,308,316,165,313,362,244,191,250
"SETD3",965,792,798,597,816,941,1086,763,865
"CCNK",255,272,250,192,276,384,402,214,255
"CCDC85C",120,135,113,137,179,205,314,115,169
"EML1",1132,1070,972,1003,1320,1660,1772,986,1340
"EVL",135,125,77,53,113,121,202,99,123
"YY1",723,763,755,621,997,1152,1028,584,744
